returnOnEquity,Debt to Equity,PE ratio,Revenue Growth,operatingProfitMargin,Class
0.1861,1.0629,9.5569,0.063,1.0,1
-0.0854,0.0529,0.0,0.0251,1.0,0
0.2084,0.4461,21.6513,0.0536,1.0,1
0.0477,0.4945,29.7297,-0.3281,1.0,0
0.0239,0.4254,39.0909,0.0573,1.0,0
-0.0931,1.2724,0.0,0.0579,1.0,1
0.2368,0.3693,11.9959,0.148,1.0,1
0.095,0.6309,23.0389,0.0703,1.0,1
0.4071,1.1556,20.4313,0.0764,1.0,1
0.0479,0.7225,29.4324,0.2478,1.0,0
-0.0783,0.3655,0.0,-0.0096,1.0,1
0.1456,1.1848,6.9897,0.0064,1.0,0
0.2269999999999999,0.2159,35.0206,0.063,1.0,1
-0.514,0.6553,0.0,-0.0266,1.0,0
2.5349,-0.6157,0.0,-0.208,1.0,0
0.2914,0.337,10.1242,0.1636,1.0,1
0.081,0.645,15.2934,0.1433,1.0,1
-0.7651,-6.6305,11.4174,0.0702,1.0,1
0.0491,2.0368,109.5691,0.0992,1.0,1
0.4728,0.1311,20.1104,0.2246,1.0,1
-0.0037,1.1266,0.0,0.009,1.0,1
0.2118,4.8473,11.6582,0.0724,1.0,1
0.184,0.5539,3.0453,0.1892,1.0,0
0.0676,0.7081,38.6739,0.1138,1.0,1
0.1193,0.0004,16.1574,0.3017,1.0,0
0.0899,1.2738,20.0123,0.0898,1.0,1
0.1874,2.3911,18.6234,0.0812,1.0,1
-0.1507,0.5582,0.0,-0.0063,1.0,1
-0.024,0.5955,0.0,0.3598,1.0,1
0.3085,1.2559,15.2401,0.1204,1.0,1
0.1278,0.8447,9.4451,0.2899,1.0,1
0.2302,0.395,3.7908,0.5423,1.0,1
0.1735,0.7255,15.6096,0.086,1.0,1
0.3967,0.1438,8.1766,2.8781,1.0,0
0.2269999999999999,0.4527,7.2578,0.0917,1.0,1
0.1278,0.09,27.4555,0.0436,1.0,1
0.0935,0.4889,34.3146,0.0906,1.0,1
0.0461,4.573,13.4723,-0.0041,1.0,1
0.0978,0.9984,18.6842,0.0353,1.0,1
0.0206,0.5338,248.125,0.1171,1.0,1
0.2684,0.3456,34.5079,0.1004,1.0,1
0.2127,2.1809,16.5053,0.1544,1.0,0
0.0692,0.3939,66.1122,0.0988,1.0,1
0.2345,0.4304,4.657,0.1684,1.0,1
0.0452,0.4356,23.9426,0.2939,1.0,0
0.0653,0.2656,21.2697,-0.0163,1.0,0
-0.0128,0.6141,0.0,-0.1613,1.0,0
0.1479,0.0477,11.8601,0.1148,1.0,1
0.145,0.512,11.3401,0.0254,1.0,1
0.1162,1.7135,18.0652,0.0175,1.0,1
0.2121,0.7008,7.3006,0.1878,1.0,1
0.1223,0.2966,4.0769,0.1071,1.0,0
0.0674,1.8519,14.4444,-0.0301,1.0,1
0.0093,1.4665,0.0,-0.0946,1.0,0
0.024,1.1531,71.875,0.0363,1.0,1
-0.4302,0.9452,0.0,0.2572,1.0,0
0.1127,0.0496,20.4619,0.0021,1.0,0
0.051,0.8462,156.7442,0.0779,1.0,1
